280463.tsv:SRR17239082	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	19796958	2023-05-10
280463.tsv:SRR17239083	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 2000-3500bp - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1014604	2023-05-10
280463.tsv:SRR17239085	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 2000-3500bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1297329	2023-06-05
280463.tsv:SRR17239090	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 1500-3000bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1098252	2023-05-10
280463.tsv:SRR17239094	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 1000-2500bp - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1672295	2023-05-10
280463.tsv:SRR17239095	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 1000-2500bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1728170	2023-05-10
280463.tsv:SRR17239099	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 0-800bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	891299	2023-05-10
280463.tsv:SRR17239101	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 5000-10000bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	219776	2023-05-10
280463.tsv:SRR17239102	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 5000-10000bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	234183	2023-06-05
280463.tsv:SRR17239105	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 3000-5000bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	437346	2023-05-10
280463.tsv:SRR17239106	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 2000-3500bp - SMRT cell 5	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1678723	2023-05-13
280463.tsv:SRR17239109	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 2000-3500bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1735872	2023-05-20
280463.tsv:SRR17239110	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 2000-3500bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1793253	2023-05-10
280463.tsv:SRR17239113	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1500-3000bp - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1248122	2023-05-10
280463.tsv:SRR17239114	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1000-2500bp - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1101879	2023-06-05
280463.tsv:SRR17239116	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1500-3000bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1515655	2023-05-13
280463.tsv:SRR17239118	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in dark phase - Std cDNA protocol - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	17327081	2023-05-10
280463.tsv:SRR17239044	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	13419015	2023-05-13
280463.tsv:SRR17239047	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 0-800bp - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	2115843	2023-05-10
280463.tsv:SRR17239048	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1000-2500bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1487948	2023-05-10
280463.tsv:SRR17239051	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1500-3000bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1485753	2023-05-10
280463.tsv:SRR17239052	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 5000-10000bp - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	269540	2023-05-10
280463.tsv:SRR17239053	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 5000-10000bp - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	284056	2023-05-10
280463.tsv:SRR17239054	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	16195250	2023-05-20
280463.tsv:SRR17239060	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in dark phase - Std cDNA protocol - SMRT cell 5	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	16002479	2023-05-10
280463.tsv:SRR17239061	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 3000-5000bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1038840	2023-05-13
280463.tsv:SRR17239062	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 3000-5000bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1045076	2023-05-13
280463.tsv:SRR17239069	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1000-2500bp - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	945278	2023-05-10
